Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,high alpha
52.86850715,501,988.8119021,0.703243043,612.5859735,0.740543719,537.4009875,-0.367591748,249.7689372,-0.416517763,687.1753028,-0.084039133,1996.633283,0.010258541,XXXXXX,,872.9281783,733.4301732
52.96750736,502,1133.899096,-0.273945112,791.3471955,-0.677926941,675.5284749,-2.357441188,888.442074,-1.914690983,1402.063122,-1.61855453,3424.689692,-1.431357427,XXXXXX,,,
53.06949949,503,992.0407328,-1.293408366,814.4095835,-2.290325387,692.9425953,-1.925751199,738.5080126,-1.951414052,1534.405845,-2.054091632,3901.272711,-1.572283087,XXXXXX,,lowbeta,highbeta
53.16748595,504,1249.940237,-2.246614831,761.2618382,-1.381197343,786.7735792,-0.473104588,762.6889854,-1.900253284,1528.162914,-1.051557071,4035.127851,-0.66564086,XXXXXX,,622.6819779,654.5168408
53.26246667,505,1396.530149,0.225483636,670.1478515,-0.809741778,703.1383731,-0.015128093,778.4957265,-2.252900386,1481.970898,-0.931915883,4232.905395,-1.09620138,XXXXXX,,,
53.36415887,506,1105.139744,2.755170746,582.4838395,0.087449728,690.4605508,-1.857517618,769.2861856,-1.866204879,1526.877922,-1.662581934,4138.904708,-1.430264759,XXXXXX,,low gamma,highgamma
53.47124839,507,1024.642032,1.246934935,767.3527318,2.395787812,606.6079781,0.900750322,563.9088045,-1.416351574,1282.817164,-0.678619688,3876.749219,-0.665299447,XXXXXX,,1239.168144,3416.797249
53.57342458,508,418.9468805,-2.319772941,1032.473916,-2.79931813,379.8267891,0.186539741,406.69591,-0.405176924,1136.658314,-0.67200257,3720.636578,-0.534475094,XXXXXX,,,
53.67603159,509,389.0387198,-1.8384008,879.2851178,-1.986700965,463.5663205,-1.936550372,563.5875803,-1.441744386,1152.316534,-0.79297929,3692.232413,-0.785141868,OOOOOO,,,
53.77408314,510,375.9437947,0.386720031,549.7956747,-2.000217515,434.9625522,-0.409972409,388.1622148,-1.04986332,1047.221088,-0.609894908,3365.184004,-0.490045971,OOOOOO,,,
