Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,highalpha
54.4337256,501,767.1059101,0.368183344,360.9606688,0.705065946,599.3315654,1.028989219,856.1467651,0.960883362,1633.663764,0.956946404,4073.925584,0.754977431,OOOOOO,,630.7657899,628.352162
54.535568,502,573.3160432,-0.447915099,505.7871688,-0.5270864,636.0615226,0.112191416,696.1991502,0.461027745,1362.263075,0.764307404,3975.640953,0.986138252,OOOOOO,,,
54.63372278,503,670.3875802,0.288393892,436.3985301,0.202401658,741.3734688,0.613063521,744.005852,0.976094757,1818.669422,0.796274495,3958.304484,1.08741934,OOOOOO,,lowbeta,highbeta
54.7370398,504,649.9162484,0.047843173,444.1103721,-0.12060223,333.8655806,0.20479504,808.0438204,1.30041095,2166.026566,0.924167143,2647.703549,0.598488389,OOOOOO,,618.2934938,773.5929019
54.83533096,505,294.0167391,-2.361462493,384.0390098,-2.561687755,336.9864271,-2.194222657,377.6851869,-1.697599121,579.6601185,-0.863025386,1203.221802,-0.670119646,OOOOOO,,,
54.9376173,506,570.6153349,-2.383796491,372.0424895,-0.750430392,801.4228218,-1.582556448,784.5940557,-1.752666204,1394.405243,-0.751871715,3677.880124,-1.172862444,OOOOOO,,lowgamma,highgamma
55.03961658,507,747.1014557,-2.610120925,476.3701679,-0.851620319,641.7511578,-1.468839678,805.8724626,-2.271262979,1456.109954,-0.59204216,4165.539039,-1.121454194,OOOOOO,,1457.080195,3764.262317
55.13760424,508,730.2036478,0.185598282,570.9146492,-0.750372712,596.2557343,-0.214888527,805.7784565,-1.705263166,1399.259037,-1.771837857,4434.32785,-1.511153057,OOOOOO,,,
55.24008346,509,532.4782419,-0.19115759,591.427086,-2.697377496,623.6232247,-0.233526679,791.540895,-1.43313758,1401.422486,-1.64853462,4505.249259,-1.466763496,OOOOOO,,,
55.34325194,510,549.1429952,-2.236135684,545.2627163,-2.602387305,646.294647,-2.624940137,742.9950874,-2.062492908,1335.023364,-1.264745811,4133.899878,-1.01337784,OOOOOO,,,
55.4405961,511,802.8598102,-2.631154275,510.0869807,-2.67052867,739.2300024,-1.500087431,780.0034818,-1.874633893,1449.25483,-1.137104688,4380.231118,-1.450923142,OOOOOO,,,
55.54318619,512,795.5137105,2.600173771,501.1966112,0.617405121,395.1775851,0.649398073,650.380468,-1.066351568,1288.594317,-0.225722605,3982.492626,-0.580631773,OOOOOO,,,
55.6421833,513,335.2446471,2.145899268,275.8667181,-1.398570363,396.1085646,-0.313504908,553.8077506,0.088005334,1080.770543,-0.376744051,3812.204832,-0.583228298,OOOOOO,,,
55.74420762,514,535.6259357,-1.708704184,263.3765425,-1.512774,916.6262652,-1.825163753,804.4223567,-1.399504812,1370.277146,-0.687172524,3692.592488,-1.222639556,OOOOOO,,,
55.84626198,515,597.8898789,-2.00825987,457.6776029,0.992094109,376.3478204,-0.749992975,322.8245263,-0.107649404,544.1902679,0.184475927,1206.460242,0.189567958,OOOOOO,,,
55.94515872,516,579.9017876,0.07594077,931.4509654,0.37391929,921.8531697,0.637330903,582.8096295,0.999713609,2123.028498,0.819653684,2975.66987,1.254737403,OOOOOO,,,
56.04716635,517,594.9423205,-0.326751112,889.4100462,0.410154397,651.6529552,0.656402634,801.4255134,0.651924337,1771.518785,0.949752723,4042.877985,1.117351788,OOOOOO,,,
