Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,,highalpha
54.88180852,501,972.865268,-2.730851341,1096.945604,-0.136927426,789.4518551,-2.470255675,1105.179312,-2.189731877,1584.888215,-1.193199459,2906.338488,-0.979268656,OOOOOO,,1130.84914,,1015.121426
54.98051167,502,1007.683924,0.07212883,1032.395438,-1.874120541,636.1269799,-0.372246357,921.6615494,-1.885682674,1628.617097,-1.436647444,3826.984983,-1.178111581,OOOOOO,,,,
55.08241534,503,875.9501826,-0.309222574,830.6347928,-1.505811139,647.8481897,-1.401878486,906.1239734,-1.906817032,1584.51404,-1.248151683,4019.522557,-1.529321915,OOOOOO,,lowbeta,,highbeta
55.18080187,504,591.7104246,2.365545437,931.4708454,-0.13737495,771.3412193,-2.411295268,820.6983182,-1.467912648,1629.618649,-1.246183055,4326.742851,-1.019463489,OOOOOO,,738.6296292,,150.2464475
55.28375006,505,799.5212853,1.824424403,923.7380707,0.304396124,654.0587874,-0.749344453,834.8128168,-1.334843149,1414.397751,-1.165805817,4264.30651,-1.31312377,OOOOOO,,,,
55.38576269,506,705.7776111,1.692513191,685.120841,-1.178904565,568.3128717,2.415139569,590.0655057,0.127301915,1248.865839,1.057528839,3729.946124,0.247916618,OOOOOO,,lowgamma,,highgamma
55.48468471,507,893.6208417,1.06588075,551.9074507,-0.04669025,247.8400829,-1.339098508,580.7750743,0.785453967,1229.191751,0.197227601,3664.936521,-0.057906369,OOOOOO,,1414.182457,,3694.092409
55.58651328,508,886.9282102,1.156904186,764.1571338,1.193068756,415.1200255,1.720119184,531.9721862,0.750505479,1289.35127,0.502531389,3651.548724,0.305064582,OOOOOO,,,,
55.6892426,509,915.9903017,2.268812515,896.3703649,2.184629587,702.0451185,2.476903775,593.2112412,0.649695664,1060.941498,-0.37064825,3527.887241,-0.360348514,OOOOOO,,,,
55.78735709,510,1544.921605,-2.631176204,1052.699259,-2.362186889,597.0669665,-1.604396049,636.8788307,-1.159636291,1630.63005,-2.071333343,3750.013462,-1.732480644,XXXXXX,,,,
55.88937855,511,970.2675957,-0.33514061,648.3224024,-1.184486009,528.808549,1.080101714,331.1122037,-0.065972402,507.2381703,-0.764322894,1909.393856,-0.369325126,XXXXXX,,,,
55.98832846,512,1747.261974,1.525996974,834.9993057,1.182535138,658.8191136,1.732859579,734.5149182,0.413391023,1675.117797,1.280662866,3060.803595,1.104050363,XXXXXX,,,,
