Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,highalpha
53.0955267,501,355.2035761,-1.374784097,539.3215128,0.497529532,416.58187,0.928768898,386.8032288,0.956372736,733.7326399,1.059482364,3297.687979,0.859466706,OOOOOO,,503.0366825,464.3922764
53.1974299,502,204.2840478,-0.089032868,693.6807425,0.693050463,354.7102435,0.820337382,427.6978487,1.011929768,704.1886616,1.378552083,3102.229573,0.907317774,OOOOOO,,,
53.29591656,503,662.4940294,2.082705423,488.0028865,1.369785478,352.1978821,-0.066735225,397.5152481,0.821151213,595.6647267,1.381265949,2726.578864,1.104201174,OOOOOO,,lowbeta,highbeta
53.39841485,504,496.0824979,-1.481790973,427.9280264,0.293531961,477.4736516,-0.122194399,587.2534801,-1.973990906,777.2764148,-2.032242069,2084.522405,-1.817399243,OOOOOO,,422.9337722,459.7727033
53.49637008,505,750.7716182,-1.035529452,428.8183572,0.988198167,510.8162738,-0.019821978,268.2502483,0.13887559,644.8898404,-1.176646178,2147.081971,-1.7270746,OOOOOO,,,
53.59940577,506,750.5716465,-1.978418243,428.6047226,-0.474446859,511.2479326,-0.647174468,268.5870405,0.234594698,645.4236763,-0.319825838,2148.189985,-0.403857715,OOOOOO,,lowgamma,highgamma
53.68672395,507,744.1845459,0.275655318,453.3397327,-1.8146057,491.388085,-0.0259682,273.2140671,-0.190161665,640.3460527,-0.054484342,2160.764595,-0.061154562,OOOOOO,,868.2462187,3008.09474
53.79935527,508,823.2387827,-0.576646661,736.9090394,-1.918360377,751.7124934,-1.333890981,757.6474776,-2.175580407,1278.779926,-1.75847773,2730.786165,-1.084640555,OOOOOO,,,
53.90254164,509,824.2181217,-1.741608946,547.817782,-1.678933779,662.1962047,-1.357492011,631.0537621,-1.802073247,1142.08269,-1.656509011,3307.524529,-0.899259527,OOOOOO,,,
54.0023663,510,919.0928217,0.545132333,359.3449136,-1.691670741,614.8585073,-0.871099568,500.8366954,-1.817422503,949.9589803,-1.759961164,3381.838616,-1.517239047,XXXXXX,,,
54.10260248,511,913.873503,-0.393810427,287.477708,-0.016444581,520.4179611,-0.9630501,388.6410714,-1.108867145,935.8547217,-1.319041348,3383.769932,-0.928567357,XXXXXX,,,
54.20496535,512,944.1210115,2.067708012,350.0769273,-2.032505945,498.6874479,0.96982619,345.7520183,0.220269691,819.3513002,-0.980536709,3446.905692,-0.567285222,XXXXXX,,,
54.30395007,513,754.2298936,0.99989175,340.0088026,-0.65607623,377.5376792,-1.318424261,308.7208593,-1.025824759,719.780821,-1.017709109,3340.974089,-0.600165815,XXXXXX,,,
54.40560031,514,678.8902178,1.244408441,220.7415867,1.942695772,469.1529832,1.931620417,234.9265604,0.6282068,662.7918071,0.858762497,3279.435585,0.25852671,XXXXXX,,,
54.50257993,515,163.1413171,1.14117097,348.6468408,0.731894085,353.898169,-2.732477018,373.7322037,-2.079318462,695.7413996,-1.651056081,3215.852595,-1.391856736,OOOOOO,,,
54.60427809,516,280.0645687,0.157464739,468.9502331,-1.061935885,295.3400972,-2.471777894,393.8973707,-1.499808848,717.9404598,-1.521853206,3084.078323,-1.147088231,OOOOOO,,,
54.70252967,517,266.00215,-0.153625006,441.5691736,-0.738800675,249.2231681,0.446763735,381.2578573,-2.062421774,667.052077,-1.643409412,2733.096821,-1.335247975,OOOOOO,,,
54.81185389,518,882.5556756,0.165479462,576.4680203,0.409752688,505.5059071,0.604982177,522.2740817,0.87162106,715.2720226,1.134082214,2064.155216,1.290088712,OOOOOO,,,
54.90936947,519,355.5053686,-1.463659028,258.5499804,1.508169365,294.9474629,0.417045625,424.0224599,-1.317253488,780.4696221,-0.686138294,2211.204389,0.114074761,OOOOOO,,,
55.00322962,520,388.625746,0.751057087,261.3082917,2.318763925,290.9112463,-0.269976864,425.0360299,-0.238091933,792.8460541,-0.397001192,2216.958565,-0.220833434,OOOOOO,,,
55.11083078,521,349.5460375,-0.116028647,347.929152,-2.134873897,263.9591819,0.072775064,406.2810557,-0.5640501,798.5847354,-0.093448934,2254.044864,0.118794364,OOOOOO,,,
55.20421004,522,462.7156211,-0.830653711,487.2778758,-0.5407454,422.2700522,-0.170111508,720.3448502,0.39631543,1492.718856,1.095102362,3007.624288,1.242215587,OOOOOO,,,
55.31482077,523,449.1146102,0.331858442,604.5664637,-0.213924729,544.5551117,0.29630315,601.9943529,0.455180513,1271.796426,1.061198753,3424.204203,0.923973175,OOOOOO,,,
55.41375041,524,426.0144984,0.073223023,498.9486623,0.060972136,503.3716465,0.295542217,560.9157225,0.466591203,1111.350947,0.901562909,3473.918689,0.258662776,OOOOOO,,,
55.51577878,525,347.8245748,1.756566208,380.6302465,0.720574974,422.5658422,0.474822006,489.1698785,1.127626401,1003.896827,0.634658411,3544.487467,0.743061777,OOOOOO,,,
55.61824179,526,489.0732606,1.267090101,298.9025761,-0.381836947,273.5739106,0.932636287,454.9338376,0.044578179,966.5304666,0.983912,3628.050404,0.782167636,OOOOOO,,,
