Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,,highalpha
54.31863689,506,1011.79581,-0.558070754,1040.178048,1.084217726,539.7240752,0.223740226,596.7006554,0.545411547,966.1187481,0.762150679,3138.985051,0.917876079,XXXXXX,,lowgamma,,highGamma
54.41763926,507,1703.619803,1.780931985,1338.12053,1.774722201,689.7282106,0.095080825,338.4081085,0.721662761,707.1368022,0.157654581,2995.630254,0.386204314,XXXXXX,,768.5527181,,2675.129681
54.51961565,508,1122.010361,-0.238481293,505.9022884,-1.327656937,460.5573977,0.18263433,310.2686713,0.16999501,640.0809024,-0.691344873,2929.449961,-0.609705374,XXXXXX,,,,
54.61199427,509,905.7752816,-0.8938896,495.2084461,-2.160811076,412.9465479,0.115097112,397.0465838,0.879983551,662.1783118,0.191167742,2924.930369,0.036771065,XXXXXX,,,,
54.72053576,510,818.3355438,-1.387941459,394.6213446,-0.324964,634.9891816,-1.66519957,397.6725119,-0.154793,689.2412048,0.9161522,2936.691178,0.611959452,XXXXXX,,,,
54.82256985,511,814.0649945,0.511768507,873.8561505,1.491553427,439.5180025,0.459033532,543.2800341,0.114311376,811.7900044,0.090098543,2999.117735,0.344016509,XXXXXX,,,,
54.92124295,512,831.5736909,0.217397104,902.905772,-0.109731226,986.3829184,0.610248704,588.2314294,1.238102429,838.1764757,0.871667474,2844.543132,0.951990632,XXXXXX,,,,
55.02320576,513,1624.34903,-1.18438222,993.0291243,0.258659593,878.9010523,0.573309289,605.7221514,0.107941583,678.7038785,0.076649291,1851.601031,0.323322881,XXXXXX,,,,
55.12621856,514,1555.012437,-2.250717629,809.7453551,0.956867265,922.8067937,-1.27551392,550.9987655,0.263187571,673.293253,0.458124418,1872.960483,0.393319973,XXXXXX,,,,
55.22418714,515,1738.069008,-0.065915443,1012.215325,2.00592861,982.8424314,-0.665546288,933.4756991,-1.94415977,1651.220468,-1.90589493,2913.076064,-1.15460042,XXXXXX,,,,
55.32614565,516,1483.800937,-0.942223443,1059.226241,0.365689312,824.3646394,0.044177197,743.5134087,-0.941460828,1247.876348,-1.816185833,3235.056168,-1.458095954,XXXXXX,,,,
55.42917323,517,1692.49819,-1.98703216,948.0635186,-1.338042527,1031.160921,-0.783459149,678.3142797,-0.752731759,1064.340551,-1.683239673,3179.442275,-1.572046556,XXXXXX,,,,
55.52714157,518,1664.785971,0.261600003,760.8995925,-0.780407564,1113.55284,-0.074088436,498.7272995,-0.538136264,949.9842419,-1.742027363,3364.412123,-1.19873484,XXXXXX,,,,
55.63013601,519,1415.113165,-0.578293338,795.0481938,-0.04291017,822.9119936,0.522698517,441.2744091,-0.090979607,822.194248,-1.163162127,3259.684828,-0.770129114,XXXXXX,,,,
55.72809839,520,1160.16269,1.682696042,853.9991509,0.594152766,792.5038961,-0.1979655,401.8721782,-0.577832117,695.9003572,-0.235501777,3148.012719,-0.442605774,XXXXXX,,,,
55.83011246,521,1136.309611,-0.195740288,1358.761093,-0.958083861,602.9982688,-0.250024982,426.6677482,-1.312044887,671.2958502,-0.523249262,3108.150306,-0.405367458,XXXXXX,,,,
55.93313766,522,2614.051468,-0.740735724,1398.718632,-0.408149098,1119.212259,-1.531071714,880.7753817,-0.99993117,957.0040823,-0.08886915,3299.544207,-0.369974593,XXXXXX,,,,
56.03106594,523,1926.821145,-1.452788623,594.3166519,-1.224766521,821.9435252,-1.547743529,714.834334,-1.682665709,765.0115891,-0.884594431,3020.213109,-0.54945395,XXXXXX,,,,
56.13306117,524,1534.505913,-1.953821663,838.8047694,-1.53422393,861.1508925,-0.380362837,776.2318358,-1.490976526,903.8929253,-1.597609379,2726.313205,-1.343895334,XXXXXX,,,,
56.236027,525,1550.180015,0.250781485,856.4400325,-1.02958802,597.6735792,1.34525101,520.8384263,0.908430877,390.7707028,0.288381291,1602.830381,0.15313558,XXXXXX,,,,
56.33401346,526,1550.12069,-0.692070615,856.4318023,-0.401105924,597.9143185,-0.538682872,520.8332717,0.520708427,390.7353253,0.002649104,1602.936748,0.152892395,XXXXXX,,,,
56.43601894,527,1549.579215,1.507035171,1104.468521,0.274894905,770.2899087,-0.280975536,718.6277753,0.83647611,1461.413954,0.90070809,3193.809811,1.031131595,XXXXXX,,,,
56.5348208,528,1495.475055,0.659476672,915.7904641,0.821916572,862.9221582,0.102327003,722.3035766,0.5247731,1212.89932,0.997573114,3262.421285,1.048639368,XXXXXX,,,,
56.62836385,529,1430.088918,-0.472956055,952.7138543,-0.427610022,820.0682748,1.18354374,764.7238653,0.629417355,1020.354371,0.870372015,3336.741195,1.282412533,XXXXXX,,,,
56.73996329,530,1455.782733,1.770768509,1182.737322,-0.046592195,438.5601844,-0.26616847,523.0690348,0.578199343,714.2805726,0.949374165,3190.113604,0.515468078,XXXXXX,,,,
56.82830763,531,1877.064223,1.282052168,751.9875937,0.942665373,609.8288487,0.378906074,395.0884217,-0.145632798,584.9949387,0.211608991,3061.808333,0.294169892,XXXXXX,,,,
56.93992472,532,1391.903362,0.794731588,506.2145973,2.699011009,239.4506568,1.545851611,222.7151312,1.12151941,632.9664631,1.18196742,3087.211587,0.805536876,XXXXXX,,,,
57.04260039,533,982.7197232,0.279212383,547.3182725,2.832300816,504.6439563,2.031823942,271.5740544,1.560778955,637.5242044,0.865917932,3068.790942,0.118856443,XXXXXX,,,,
57.14057684,534,515.0503889,-1.207273232,494.0484995,-0.413851482,226.837943,0.140911339,325.3377553,1.954871854,739.9670399,1.544925719,3140.950063,1.020954329,XXXXXX,,,,
57.24355292,535,572.0901923,-1.576150327,387.4502901,0.42968261,309.8784089,-0.031174981,447.5475839,0.322947615,716.1610382,1.253548206,3003.733232,1.102789117,OOOOOO,,,,
57.34154654,536,710.9244338,-0.141289585,442.8686759,-0.115803656,635.4582063,0.169009909,662.323598,0.419010651,1458.458718,1.226988276,2802.879681,0.816946698,OOOOOO,,,,
57.44450068,537,551.1450924,-0.664048375,370.6114923,-1.281441696,358.7683154,0.864627016,386.6033189,0.216905294,418.420598,0.460484221,1678.705544,-0.091754924,OOOOOO,,,,
57.54649138,538,550.9059758,-1.606374437,370.1451603,-0.649512092,358.8527784,0.236237026,387.0245866,0.309539978,418.7056348,0.746750789,1678.865728,0.23933838,OOOOOO,,,,
