LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
320.7006724,0.125276183,342.0775372,-0.719361172,199.8425177,-0.500646438,397.4727376,-0.919530045,956.6723759,-1.08853495,3183.345406,-0.476395363,1
195.3119892,-2.690874022,251.166505,-0.330707559,319.4977789,2.755592285,288.0237429,0.097891746,1104.026596,-2.060334099,2678.614806,-0.438500785,1
284.9949219,-1.736735587,367.3905088,0.127790667,101.1457023,0.345720006,269.8613785,-0.543567552,653.8905926,0.586810079,2159.027734,0.160176134,1
285.3696635,-2.676152565,367.5326738,0.756013485,101.2763196,-0.284472313,269.9929074,0.034653354,654.0021958,0.299995416,2159.119049,0.159609528,1
246.7767677,2.274580737,353.7643317,-0.519915822,173.4579393,1.182383761,290.4924858,0.248349532,690.4069559,0.070918931,2174.20652,0.172321766,1
601.4831921,0.342621036,762.4500424,0.378623208,496.2344274,0.546309341,702.9122669,0.770790055,1306.304448,0.999320012,3553.36341,1.140960031,1
550.0112514,0.093728797,673.0746663,0.567944722,559.4553368,0.429293241,621.6020255,0.791744438,1154.616247,0.943185255,3592.81637,0.910172719,1
260.310044,0.555945706,492.6412614,0.925603185,458.8519531,0.618909211,566.1289887,0.868610835,980.6554538,0.811614185,3409.494823,1.047319908,1
449.6625748,1.016397896,363.6685113,1.378943168,320.7542758,0.906874096,429.9074789,0.721218001,913.0836458,0.1422419,3638.732078,0.507950385,1
248.2636859,0.630548018,310.7772467,-1.684178825,174.8323121,-1.15946283,395.5919812,-0.007461063,854.9563452,0.8254151,3550.097355,0.750003869,1
667.9067984,0.305056178,326.7068403,-0.003822762,204.9917236,0.414391402,388.2665725,0.42632467,870.3605974,0.03789077,3442.372672,0.398519623,1
323.7649521,-1.091719285,264.9997822,-1.464056755,269.9982349,-0.604604265,398.8294631,0.591585566,878.6261366,-0.254049442,3457.419474,-0.243597765,1
276.0555872,1.475832017,460.7460774,0.291903496,447.3163483,1.13406112,472.8395281,0.63428679,852.0797021,0.820343422,3313.723156,0.790103286,1
342.9224404,0.283561231,382.9652797,0.156070349,388.5618822,0.275155996,462.0735242,0.670074346,951.2870751,0.451018413,3106.617889,0.443378285,1
490.2997881,2.172980939,333.0549937,0.184486204,510.7060772,0.428162506,435.2708044,0.727845424,788.7769642,-0.449450163,2321.3124,-0.768991049,1
484.3025821,1.35951695,260.155597,0.643689483,437.1150046,1.001682521,375.2687138,0.174342949,710.4467683,-0.156926762,2262.617353,-0.109091738,1
484.197139,0.417676571,259.7477411,1.27208395,437.1343211,-0.882554011,375.6420888,-0.700162641,710.1045531,0.127495897,2262.465847,-0.109376495,1
676.8313726,-0.194316908,422.3524191,-0.742084029,593.2754621,-0.377906295,656.3875488,-1.7006884,981.4347253,-1.2267853,2402.975981,-0.675006621,1
496.839381,-2.38488521,502.6678063,-0.334991967,640.8156973,-1.268782783,757.4245679,-1.69806141,1364.076698,-1.367025422,3490.8744,-1.222427364,1
315.5283947,0.560169997,387.434799,-2.281375714,560.6059916,-1.741609593,739.4957105,-0.874381427,1290.723974,-1.8355242,3729.831126,-1.349001817,1
514.0948822,-1.978063972,616.4118903,-2.367400085,627.2563395,-1.613540165,558.7093319,-1.782847243,1140.979657,-1.538598954,3588.094928,-0.90814807,1
409.532592,-2.240023597,368.5163052,-2.193439118,378.9996481,-1.148944819,630.5225672,-0.91354633,990.6943899,-0.204270635,3664.521825,-0.20475492,1
539.3056881,-2.160939538,412.6040352,-1.615136168,352.6085811,-1.169677774,448.4767536,-0.41484986,970.6897333,-1.201147415,3595.28033,-0.840999699,1
325.1258982,-1.811929173,460.8769101,-0.483698585,280.799939,-0.995392659,425.4714398,0.510286297,818.8905488,-0.009289432,3458.946799,-0.11865821,1
321.6442314,-1.681312535,421.8799332,0.557913768,251.6983575,-0.431442779,428.7319994,0.625008878,985.9063197,0.166960348,3495.178101,-0.161702305,1
1517.84176,-2.356750672,1261.171844,-1.791402348,993.7844301,-1.588753363,677.4212987,-1.003621964,829.5750991,-0.890567287,3319.112793,-0.9161249,1
596.9277026,-0.293941662,1097.298575,-1.473419358,486.5054514,-1.564814155,550.7197521,-1.269655517,746.0080473,-0.510253678,2973.664906,-0.868654351,1
785.190105,1.119375773,912.6897071,-0.819791056,496.6949354,-0.051847825,518.5806866,-0.011898407,708.7224162,0.89559895,2121.778666,1.089941359,1
738.5550618,0.35997975,788.1827595,-0.416404024,358.9016323,-0.818246844,451.5194432,0.801098449,599.781964,0.409625592,2039.782259,0.343592457,1
738.6159744,-0.58247664,788.2229695,0.212793686,358.6128893,-0.188679761,451.3469508,0.413784843,599.4284894,0.124173495,2039.7285,0.013088117,1
908.6791257,1.273440505,711.70363,-1.103260694,589.4575172,0.382393984,865.6055008,0.56600769,1708.132044,1.271826513,2992.53937,1.026993573,1
1192.670933,0.465501093,862.7855859,-0.493025597,654.9347894,0.51011192,702.6112231,0.43299031,1405.283102,0.916337007,3412.215877,0.974087398,1
1230.058068,0.07914722,797.4394128,-0.022271474,320.38388,0.261162875,662.3356315,0.682597095,1292.172572,0.915885368,3557.258312,0.339528684,1
859.1355531,-0.425202122,729.8556796,0.402955499,498.359846,0.867073103,618.2812,0.882382059,1111.670141,1.057248382,3540.232189,0.736980017,1
