Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,highalpha
52.54627204,501,915.6672955,1.960273318,1127.004948,1.889818445,851.4669968,1.745758213,898.4740247,0.847701034,1024.135608,1.207780926,2537.702426,1.23978174,OOOOOO,,587.0134246,431.4658981
52.64766145,502,1422.665118,1.813522877,904.6827929,1.806424466,905.8067295,1.76713533,917.194984,1.190492446,960.3098887,1.153138144,2815.449428,0.807297539,OOOOOO,,,
52.74611521,503,1352.918041,1.690697157,1053.7069,1.10281165,757.756626,1.903704484,911.5866429,1.016312609,889.9404956,0.752613097,2791.431604,0.464668038,OOOOOO,,lowbeta,highbeta
52.84588122,504,850.204581,1.992658908,908.1946396,1.436251412,526.4629479,0.445617174,783.1519412,-0.110818402,828.7283403,1.806094968,2800.289853,1.10753125,OOOOOO,,365.0986285,346.762476
52.95121574,505,452.6537467,1.302755812,793.9751342,1.397096083,385.8582051,0.863402674,641.6589579,1.45601442,542.1030405,0.084326237,2631.213829,-0.307964505,OOOOOO,,,
53.0502646,506,1412.71034,2.766909258,781.8261989,0.570868857,260.0486294,0.750222844,363.7924854,0.582261369,397.9140928,-0.318657326,2504.179081,-0.09864245,OOOOOO,,lowgamma,highgamma
53.15221143,507,1131.655863,1.819649274,544.2398645,1.218611059,355.9241163,0.851380675,245.2109494,1.332159243,425.2847286,0.504549533,2512.953731,0.122138268,OOOOOO,,504.4704928,2121.690985
53.25419927,508,1131.32574,0.229095561,501.8422903,0.07430113,412.7668184,-1.101798565,360.977251,-0.168304907,410.7469943,0.620456267,2493.006417,0.698704231,OOOOOO,,,
53.35316086,509,906.9439261,-0.181115253,521.5725257,0.569679371,530.8828347,0.68199115,377.1066983,1.14851669,616.1504656,0.93905086,2550.99357,1.022184515,OOOOOO,,,
53.44754791,510,811.9340807,-1.230096285,508.0059232,0.989996365,532.5277812,0.474013147,412.3211887,0.331296629,551.6011163,0.80729044,2021.286738,0.564738203,OOOOOO,,,
53.54913473,511,924.3126371,1.136423893,423.1479115,-0.051193465,311.5247192,0.026611661,299.5827741,-0.192653484,447.1492588,-0.276578374,1604.287156,-0.128510718,XXXXXX,,,
53.65612841,512,895.7925575,0.130053071,423.3937411,0.497748867,343.6032843,-0.546989304,328.2966681,0.337518945,475.610551,-0.107035204,1660.549758,0.137535872,XXXXXX,,,
53.7581346,513,1423.400262,1.995546374,1372.301434,2.027487001,941.2999109,-0.756177567,416.4324899,-1.004679616,740.4938226,-0.724735444,1967.299784,-0.951161665,XXXXXX,,,
53.84648156,514,1036.753945,1.212573049,1236.44448,0.435550585,495.0352826,0.017722006,520.0221448,-0.188404504,706.4402622,-0.424942654,2138.667289,-0.653242799,XXXXXX,,,
53.95907259,515,2120.318253,-0.796300227,672.4658369,0.605995128,937.9308432,0.738879394,525.8760819,-1.365605408,816.277472,-1.466340368,2215.948205,-0.988595614,XXXXXX,,,
54.06106234,516,2096.032311,-1.202874394,961.7784014,1.304504135,921.9244673,0.007344666,429.6442969,0.57167479,547.522353,-0.260767392,2232.559303,-0.585566162,XXXXXX,,,
54.16006517,517,2400.404617,-2.138022289,736.4911698,-1.515274417,950.49232,0.565406684,445.9180806,-0.576450059,542.0030284,-0.245349265,2213.140091,-0.038663497,XXXXXX,,,
54.26271129,518,2328.50546,0.093001188,792.1093102,-0.906970173,948.7320804,-0.050602806,436.1856598,-0.141235083,518.4519681,0.078916947,2221.153158,-0.214907517,XXXXXX,,,
54.36471128,519,2331.816018,-0.865885394,788.0340638,-0.55670887,935.6016134,-0.605764704,413.9236138,0.178495091,540.5155819,0.705843174,2228.166661,0.374489427,XXXXXX,,,
54.46267724,520,2352.989948,-1.819161886,699.1996014,-0.95176648,950.6988445,0.003645488,394.0038576,-0.281285644,590.676549,-0.012040932,2294.516961,-0.504799791,XXXXXX,,,
54.56563663,521,2345.619726,0.316440966,682.4222859,-0.957278483,915.3132075,-0.725035041,505.1390086,-0.734728803,709.6903003,-1.779231544,2176.219755,-1.568654546,XXXXXX,,,
54.66332364,522,2366.588452,-0.567878322,678.6608665,-0.455524554,869.2276031,-0.065508824,634.0012873,-2.059564898,612.1323731,-1.26507013,1698.235103,-1.586019857,XXXXXX,,,
54.76297712,523,1031.850231,1.926961888,1070.711997,-0.710321655,807.135836,-1.405284152,620.9897306,-1.446650886,596.0942091,-1.646011154,1374.3844,-1.162708075,XXXXXX,,,
54.86226964,524,1236.539208,0.565137474,743.3529547,-0.052218442,734.0229207,-0.47755716,564.2291358,-1.08831861,527.8734048,-0.628854535,1725.291218,-0.607417274,XXXXXX,,,
54.96246552,525,767.1702082,1.241766569,369.801776,2.234967773,376.4907215,1.679893079,409.2136241,1.204910956,536.7807092,1.987572758,1683.133429,1.113660616,XXXXXX,,,
55.06221199,526,609.1608936,-0.12920155,270.4993137,-0.625885146,289.8072239,0.615812162,562.1747925,1.04806295,896.0040839,1.118074589,2720.634427,1.157144748,XXXXXX,,,
55.16707373,527,253.3308951,-1.346602951,238.4804047,0.52573839,227.5940625,0.680661014,507.2948994,0.832451456,597.9251645,0.671555717,2656.731804,0.776670156,OOOOOO,,,
55.26957393,528,215.3001757,1.268929035,257.5506272,1.031079172,223.4140261,1.09130907,403.5146348,-0.132340064,472.9624161,0.67614369,2530.587682,1.096983529,OOOOOO,,,
55.37248826,529,424.9061852,2.032809476,298.1521432,1.61189329,232.6912972,1.104953441,383.0861312,0.422451793,489.2010979,-0.15802205,2596.663462,0.290397337,OOOOOO,,,
55.47052765,530,289.2971482,0.909455387,245.7807479,0.352395375,207.7413367,0.184226349,380.3819488,0.026891718,517.1347818,-0.251462249,2611.630312,0.051306386,OOOOOO,,,
55.56287599,531,342.3599784,-0.337261122,292.5215305,-0.913451556,180.5706838,-0.934274835,360.3390097,0.501029743,516.4708947,-0.125373214,2593.017263,0.288347563,OOOOOO,,,
55.67518163,532,600.3298979,-0.952441633,299.0117945,-0.700435988,329.1633109,-0.508945348,303.7573586,0.047036061,477.2592004,-0.395973518,2570.462527,-0.642930835,OOOOOO,,,
55.77314138,533,936.2505107,-1.270783535,578.4520659,-0.595662612,431.5328102,-0.221262343,475.7355733,0.137767302,731.9607119,0.746948773,2648.29373,1.005134156,OOOOOO,,,
55.87616014,534,512.3277161,0.731608038,382.0116024,-0.646198944,480.6700447,-0.519440872,448.138466,0.562353464,634.8245268,0.750494986,2339.145222,0.957569006,OOOOOO,,,
55.97403407,535,880.7774529,-0.846338154,704.8976856,-0.575099116,471.6719803,0.25205696,517.7481458,0.271538046,619.9167034,0.910093615,1441.471628,0.061466906,OOOOOO,,,
56.07612896,536,612.4536768,-1.551340327,443.0069867,0.201996859,328.9972987,0.943168458,321.2995073,-0.295745896,448.6731424,0.200454619,1508.220947,-0.211680345,OOOOOO,,,
56.17959785,537,363.830589,0.866147609,648.3336778,0.852054879,348.2087931,0.35225163,295.936851,0.353169613,456.1346396,0.594467176,1513.619513,0.478849833,OOOOOO,,,
56.27707338,538,971.0109823,-2.262371529,619.7099324,-0.60001694,339.7305434,-0.653070725,395.8566083,-1.74458695,657.6245895,-1.83358834,2375.263283,-1.371514018,OOOOOO,,,
56.3800149,539,666.22265,0.45324857,665.5045973,-0.078644079,387.7527421,-0.297395525,379.4933233,-1.412639661,523.4534258,-1.86495942,2339.010124,-1.481648494,OOOOOO,,,
56.48204446,540,678.8638918,2.258873031,552.8046138,0.476049975,394.9649375,-1.81013007,292.504183,-0.540135606,487.0592286,-1.825415912,2207.099271,-0.945425689,OOOOOO,,,
56.58001375,541,761.2771455,1.399649444,553.7301824,1.425544898,379.8577189,1.568585095,318.0799076,0.435940308,441.085232,-1.59965969,2272.175152,-0.593222747,OOOOOO,,,
56.68302894,542,629.6621896,0.597200311,551.5878567,-0.382098879,324.1817277,-0.766942721,323.1362821,0.78596772,492.309625,-1.11338636,2309.358962,-0.476837912,OOOOOO,,,
56.781003,543,812.8243388,2.15336543,534.5964849,0.039160329,528.6978491,2.027677722,337.5723264,1.176284844,462.5849542,0.438087671,2277.860892,0.276278335,OOOOOO,,,
56.87863016,544,912.609909,1.603653438,340.869454,0.501868993,417.1744057,1.646326822,330.4171932,1.081825878,402.6102827,0.974054154,2261.171263,0.462438136,OOOOOO,,,
56.98596644,545,1068.767532,1.434845487,549.6253212,2.212715328,386.3912177,2.591606506,445.0393041,-0.359611608,593.5140057,-2.297134291,2342.427917,-1.367489487,OOOOOO,,,
57.08394337,546,374.220932,0.395114152,164.4337291,-0.193547273,574.8893479,2.279216618,531.7382644,-2.105974275,669.427553,-1.278741038,2148.743033,-1.197340535,OOOOOO,,,
